Name
Keanu Reeves
Channing Tatum
Hugh Jackman
Dwayne Johnson
Adam Sandler
Daniel Radcliffe
Daniel Craig
Ryan Gosling
Vin Diesel
Ben Affleck
Chris Pine
Olympia Dukakis
Peggy Ashcroft
Linda Hunt
Maureen Stapleton
Mary Steenburgen
Beatrice Straight
Vanessa Redgrave
Lee Grant
Eileen Heckart
Cloris Leachman
Ruth Gordon
Estelle Parsons
Sandy Dennis
Shelley Winters
Maggie Gyllenhaal
Katie Holmes
Patty Duke
Rita Moreno
Wendy Hiller
Miyoshi Umeki
Dorothy Malone
Jo Van Fleet
Eva Marie Saint
Gloria Grahame
Kim Hunter
Andrew Garfield
Jeremy Renner
Steve Carell
Jake Gyllenhaal
Chris Evans
James Franco
Zach Galifianakis
Will Ferrell
Shia LaBeouf
Seth Rogen
Joseph Gordon-Levitt
Ryan Reynolds
Paul Rudd
Jason Segel
Jason Statham
Justin Timberlake
Dick Van Dyke
Zac Efron
Jesse Eisenberg
Owen Wilson
Jason Bateman
Tyler Perry
Liam Hemsworth
William Shatner
Shah Rukh Khan
Thora Birch
Claire Trevor
Celeste Holm
Anne Baxter
Queen Latifah
Ethel Barrymore
Rosario Dawson
Teresa Wright
Mary Astor
Jane Darwell
Alicia Vikander
Mia Wasikowska
Abigail Breslin
Gale Sondergaard
Melissa McCarthy
Tina Fey
Zoe Saldana
Elisabeth Moss
Adrianne Palicki
Jennifer Garner
Kristen Wiig
June Squibb
Sally Hawkins
Kaley Cuoco
Naomi Watts
Josh Hutcherson
Charlie Hunnam
Nicholas Hoult
Aaron Taylor-Johnson
Bryan Cranston
Gerard Butler
Paul Walker
Karl Urban
Logan Lerman
Dave Franco
Tom Hiddleston
Peter Dinklage
Taylor Kitsch
Alex Pettyfer
Guy Pearce
Mark Ruffalo
Mickey Rourke
Frank Langella
Eddie Redmayne
David Strathairn
Terrence Howard
Don Cheadle
Tom Wilkinson
Richard Farnsworth
Nick Nolte
AnnaSophia Robb
Gemma Arterton
Olivia Wilde
Isla Fisher
Shailene Woodley
Rebel Wilson
Emma Roberts
Amber Heard
Teresa Palmer
Saoirse Ronan
Elizabeth Banks
Kristen Bell
Natalie Dormer
Brittany Snow
Kate Mara
Julianne Hough
Lily Collins
Cobie Smulders
Alice Eve
Jamie Chung
Noomi Rapace
Blake Lively
Maggie Grace
Jessica Biel
Eva Green
Peter Fonda
Woody Harrelson
Billy Bob Thornton
Idris Elba
Nigel Hawthorne
Laurence Fishburne
Stephen Rea
Warren Beatty
Gérard Depardieu
Richard Harris
Kenneth Branagh
Edward James Olmos
Max von Sydow
Marcello Mastroianni
Bob Hoskins
James Woods
John Hawkes
James Garner
Sam Waterston
Tom Hulce
Albert Finney
Tom Conti
Tom Courtenay
Dudley Moore
John Hurt
Kat Dennings
Quvenzhané Wallis
Emmanuelle Riva
Greta Gerwig
Brie Larson
Jessica Lucas
Liv Ullmann
Maria Falconetti
Setsuko Hara
Rosalind Russell
Linda Fiorentino
Gabourey Sidibe
Catherine Deneuve
Mia Farrow
Audrey Tautou
Jeanne Moreau
Isabelle Huppert
Gena Rowlands
Lesley Manville
Elizabeth Olsen
Nastassja Kinski
Mélanie Laurent
Whitney Houston
Felicity Huffman
Imelda Staunton
Oscar Isaac
Jon Heder
Miles Teller
Daniel Brühl
James Gandolfini
Michael B. Jordan
Anthony Perkins
David Thewlis
Klaus Kinski
Malcolm McDowell
Ray Winstone
Jean-Paul Belmondo
Andy Serkis
Matthew Broderick
Dennis Hopper
Michael Rooker
Vincent Gallo
Toshirô Mifune
Vincent Cassel
J.K. Simmons
Boris Karloff
Peter Lorre
Antonio Banderas
Paddy Considine
Ryan Phillippe
Kerry Washington
Carrie-Anne Moss
Janet Leigh
Catalina Sandino Moreno
Samantha Morton
Keisha Castle-Hughes
Salma Hayek
Joan Allen
Janet McTeer
Fernanda Montenegro
Kristin Scott Thomas
Brenda Blethyn
Elisabeth Shue
Miranda Richardson
Stockard Channing
Angela Bassett
Mary McDonnell
Catherine Deneuve
Laura Dern
Pauline Collins
Isabelle Adjani
Melanie Griffith
Sally Kirkland
Jane Alexander
Marsha Mason
Freddie Highmore
Michael J. Fox
Eddie Murphy
Yun-Fat Chow
Seth MacFarlane
Bruce Lee
Jet Li
Chuck Norris
Jean-Claude Van Damme
Sam Rockwell
Takashi Shimura
Richard E. Grant
Leslie Nielsen
Simon Pegg
John Malkovich
Michael Shannon
Martin Sheen
Christopher Guest
Alan Rickman
Jackie Earle Haley
Montgomery Clift
James Spader
Eric Bana
Romain Duris
Robert Shaw
Jacki Weaver
Bérénice Bejo
Hailee Steinfeld
Jennifer Jason Leigh
Kathleen Quinlan
Taraji P. Henson
Amy Ryan
Ruby Dee
Jill Clayburgh
Adriana Barraza
Rinko Kikuchi
Catherine Keener
Charlotte Rampling
Sophie Okonedo
Patricia Clarkson
Shohreh Aghdashloo
Lindsay Lohan
Michelle Trachtenberg
Chloë Sevigny
Lynn Redgrave
Rachel Griffiths
Margot Robbie
Lili Taylor
Robin Weigert
Lake Bell
Claude Rains
Steve Buscemi
John Rhys-Davies
Jean-Louis Trintignant
Joseph Cotten
Barry Pepper
Erich von Stroheim
Patrick Wilson
Christopher Lloyd
Ben Foster
Joel McCrea
Min-sik Choi
Ewan McGregor
